Term,Label,Description,ParentTerm,ParentType,Value,RelatedTerms,Relation,Comment,Source,Created,Modified,Status,Contributors,Resolution
Concepts in DPV this extends,,,,,,,,,,,,,,
dpv:Technology,,Technology,dpv:Concept,,,,,,,,,,,
dpv:hasTechnology,,Associates use or applicability of technology,dpv:Relation,,,,,,,,,,,
,,,,,,,,,,,,,,
Core Concepts in dpv-tech,,,,,,,,,,,,,,
DataTechnology,Data Technology,Technology that uses or interacts with data,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
OperationalTechnology,Operational Technology,Technology that enables or performs or executes operations and processes,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
SecurityTechnology,Security Technology,Technology that enables or provides security,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
ManagementTechnology,Management Technology,Technology that enables or provides management,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
IdentityTechnology,Identity Technology,Technology related to identity or identifiers,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
SurveillanceTechnology,Surveillance Technology,Technology related to surveillance of individuals or people,dpv:Technology,sc,,,,,,2022-06-15,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/06/15-dpvcg-minutes.html
